times,looking_binary,rmsVals,brightVals,roughVals,fluxVals,pitchVals
43,1,0.0508890987437328,1678.9088812598,40584.025366779,693.407300374437,297.164723264727
43.5,0,0.0520583544875625,1681.04783558629,40440.3566924018,538.13525703363,311.24125521918
44,0,0.0438174489871086,4471.95698864475,19287.3726032161,491.805409002502,738.69435076572
44.5,0,0.0444517470811009,2289.11339350927,25426.0271020488,600.833218419831,259.363977741201
45,0,0.0506775517447805,1309.89321272268,40663.1851023815,360.191862823569,NaN
45.5,1,0.0459719029044008,1975.00250304088,20259.5870205702,417.974798461183,260.989119879846
46,1,0.0277391172025378,3104.51514088296,1516.7047067006,458.012587356432,260.53469716512
46.5,1,0.0185702885669602,7221.79460136463,0,211.926602868824,NaN
47,1,0.0613260718747853,6074.39592644356,19663.3365758681,685.058374231819,320.596570228144
47.5,1,0.0835122933788101,1639.64122577447,124441.076133092,918.73649827098,331.914152307828
48,1,0.0730108937539098,1768.86657060687,49432.6680962467,633.356282522742,334.168710792308
48.5,1,0.051749695678632,2137.29095238642,24402.4485283609,1032.29851566045,241.485470620701
49,1,0.0403746714433714,2307.54241269472,16543.5049702764,438.022469909104,255.753533573002
49.5,1,0.0648771807656867,1956.19611168039,18981.2785754964,451.814793429123,257.884802459295
50,1,0.078744266281822,2064.50067554031,166193.958612916,912.172629528887,349.777420795247
50.5,1,0.0669055365947108,4406.0595466353,39684.8340390598,1070.58335689542,429.218886684436
51,0,0.0527640104137343,2602.05034414674,29535.2849001061,654.658934852217,434.063063228919
51.5,0,0.0406249128133078,4411.97940366332,27739.0370457477,395.552237017241,436.699807685795
52,1,0.0391316637862776,3839.57505378262,7369.53110612641,485.052630400079,432.969121599585
52.5,1,0.0483865207246252,1949.04701418583,36050.4905471321,712.874898443066,376.245394120539
53,1,0.0524766262135375,3149.7763750327,44208.3242264254,510.33588817675,376.454729498611
53.5,1,0.0465267995068789,2209.23744122135,21361.2848310886,382.659059180687,396.434532358103
54,1,0.0377198816654263,1934.05539284937,12988.4676258675,626.892476911404,322.520243100405
54.5,0,0.0313655504583937,2041.22914385707,5260.62131267807,418.193969632838,266.870713266008
55,0,0.0406305254103873,3779.47012542377,8566.43206195739,382.311436692956,435.243145263879
55.5,0,0.0460751683943957,2575.04767434605,32291.536615041,448.340908759031,NaN
56,1,0.0387370291345271,2252.18915397068,11025.8736621987,356.111439325602,422.05864862156
56.5,1,0.0283659086031878,6675.50265664835,989.857254799667,384.44790568919,NaN
57,1,0.0136616690553137,6542.5820260318,3.39522481702162,294.784732915511,NaN
57.5,0,0.0407442644487236,8479.07288293306,9636.85546512055,265.775623184841,NaN
58,0,0.0749251843309817,5492.63093220309,57091.0241653747,969.148464301703,335.885490905786
58.5,0,0.0778123550026896,2636.63324150795,90903.5901308602,545.300861123496,333.025450163899
59,0,0.0547564934613506,2244.06055643421,21750.4878309169,522.645969218626,336.212246612989
59.5,0,0.0388677000516374,2021.14307711188,14675.733716588,707.190423929972,238.298477894604
60,0,0.0372107795316008,2685.73335005548,5954.48822040369,498.098927789706,254.998597927061
60.5,0,0.0861112668883486,2439.17469087247,28471.9675080703,919.878933027333,360.395149680572
61,0,0.0921050150356132,3750.04736862154,74574.7297747576,833.077107628119,358.197435789854
61.5,0,0.0559049479343438,4364.23273730111,33477.0816416663,1019.76160957384,440.095188659583
62,0,0.0464847581849112,3050.76722848152,27155.2744455459,523.745831458364,442.116717059288
62.5,1,0.0514015792488418,4769.54670007591,37656.2152812608,473.219096382341,444.196049793025
63,1,0.0656251451368539,1968.8448176229,25208.794502709,668.542022310362,432.795742112478
63.5,1,0.0737956024543073,1786.53927551287,84617.337102193,1042.98551732864,322.693861441581
64,0,0.0641630307328553,1836.27509753257,60498.1894555033,881.815657535874,354.173627807315
64.5,0,0.0593072692396877,5331.02171228521,79245.7879890172,782.051822376855,398.288283460338
65,0,0.0549869275855244,2387.23480875867,68227.9336595222,594.463369990336,297.569751057794
65.5,0,0.0342533928632972,2551.84158768322,21081.7259531967,579.471435540941,394.880003357652
66,0,0.0419159885850257,2081.69093998555,20015.0957014055,441.687601340542,279.454275848678
66.5,0,0.0509956750644978,2081.59345684165,35811.719674565,382.040247673798,264.37666853248
67,0,0.0450797617140906,2920.15663272453,21187.7049196375,343.052793526976,NaN
67.5,0,0.0289104041365181,3733.91376167966,5156.31971580715,449.192243477523,476.117330410754
68,0,0.041244901942408,2202.46015324122,15950.5241231401,518.024390188513,399.412244062689
68.5,0,0.0554000916268559,2049.7222566359,36027.589297966,568.158143038023,379.087066270076
69,0,0.0554202882618773,1997.0802917013,69878.8566843046,752.226880038889,348.286730120313
69.5,0,0.0578005247074518,4515.82283580414,35009.0462183872,511.505844371053,262.39922409757
70,0,0.0547279314445093,1899.56796756008,34476.1836620922,522.025225525224,461.054014820144
70.5,0,0.0445419480789625,2601.45613377054,6817.66132501844,566.477167223109,349.151477600499
71,0,0.0461497852867177,2003.29340186586,20741.1830833878,619.956337764654,378.670531031363
71.5,0,0.0617612067924041,1726.4240139976,54919.3908468164,969.127392767618,443.854918864958
72,0,0.0755701938966318,1609.98802669668,133172.04273964,487.381648960222,420.112447698659
72.5,0,0.0670597366886264,2726.6103186918,60028.9095038528,455.512640430408,407.360726620212
73,0,0.040472305445175,3170.1609645377,40024.8143543051,751.146278299773,327.358987133202
73.5,0,0.0379115023056485,5904.37012901885,22664.9527065298,417.87894709128,339.234406122635
74,0,0.0557164791635232,1898.86835555399,14862.0719516745,529.071769438991,332.666555669938
74.5,0,0.067543630015531,4093.48449062499,85106.2977515552,498.185721565409,326.264293211455
75,0,0.064176023247807,4082.0832651301,45685.4497838486,585.642575129159,342.942982190787
75.5,0,0.0477807749098379,1975.16364356269,23380.8094819092,741.513276772086,325.720219971577
76,0,0.03080200243337,2334.61296436157,12014.530559598,527.554137189716,295.782909012231
76.5,0,0.027963077832267,3179.18116485354,4420.95225561136,371.334548143668,265.918196379404
77,0,0.0433161345174292,4728.99582334243,14986.5468757631,639.285363037676,411.780460791265
77.5,0,0.0629703053365117,1651.97370606498,23779.3194383007,532.396704074414,384.867448670856
78,0,0.0554709507196836,2359.53130878279,17003.800467651,581.630389301582,98.5228625990628
78.5,0,0.033828890719105,3483.69960693747,6168.03188720998,390.639430927906,NaN
79,0,0.0329886526774231,2954.3589456831,10305.0811420485,499.632318261284,335.021837769705
79.5,0,0.0490831507322406,2832.64993570511,28751.593949802,650.195604842812,NaN
80,0,0.0583734461492437,2680.7108978485,39415.2478027675,347.721799636209,257.498270816433
80.5,0,0.0523298639915456,2032.84664346854,42234.2964223743,464.877986854808,NaN
81,0,0.0599003584598667,1782.07231631355,39855.6328824365,887.764130808189,337.517035101531
81.5,1,0.07194789301036,1865.01686029982,59379.6785315121,701.760015072408,742.134711151034
82,1,0.0706695432797896,2132.0247557655,64267.6370857056,800.844027705768,392.194017234222
82.5,1,0.0637161211130011,2325.69514696619,104960.780509618,868.376114855855,441.669206822345
83,1,0.0600410824509504,2053.28360066976,77748.5229007555,576.637772853134,404.303981942428
83.5,1,0.0505334470557554,4188.00689764073,20831.3660293291,672.503814724787,330.567353941021
84,1,0.0453514376755005,6538.05073648626,16381.6204068725,434.379698498855,325.606428085938
84.5,1,0.052709187476482,3426.0434840996,5815.57438789028,719.175506996229,339.170113222449
85,1,0.0540243548558924,1913.72701160239,31619.2255734462,764.640982262193,336.104201865656
85.5,1,0.0439639622471622,2874.32678885166,8880.01659295384,448.324357483389,NaN
86,1,0.0390323253837234,3139.62175759661,22894.4385451277,391.728374340082,392.142110481668
86.5,1,0.0401761143789882,2260.20020669852,16465.3385703117,505.021829502817,296.861113928325
87,1,0.0305569653231172,2096.71589701355,6295.06017310195,404.340779938788,375.106630390682
87.5,1,0.0352335927660386,5347.32354857988,16832.4649289605,369.51682412778,393.513092653967
88,1,0.0440307533343295,2537.85795507912,27612.815809203,364.326241526786,392.904011057766
88.5,1,0.0415796130497626,1703.96082372843,26227.6909759913,255.907032785771,480.521742268775
89,1,0.0297645839822423,1920.7829828778,5807.73300865577,378.414260554538,521.323884080356
89.5,1,0.0107195955626978,1924.90044379003,0.0186907151294907,338.291002618189,NaN
90,1,0.0319866271190575,1437.35790025442,3128.33816966511,465.150254978922,401.782666159702
90.5,1,0.0644547570412089,1625.48720899324,42189.7229498802,280.776389005179,NaN
91,1,0.0796335145272748,1455.72384229901,212847.383864058,599.149946435043,257.67961140053
